File Name,2018-11-08 - Copy,,,,,,
Date,11/8/2018,,,,,,
Time,11:49:58,,,,,,
Test Info,User had no comments,,,,,,
Directory,C:\emms\test\2018-11-08 - Copy.csv,,,,,,
,,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,,
"102h, 24m, 48s",882,3000,914,0,,,
"102h, 25m, 49s",882,3000,914,0,,,
"102h, 26m, 50s",884,3000,914,0,,,
"102h, 27m, 51s",884,3000,914,0,,,
"102h, 28m, 52s",884,3000,914,0,,,
"102h, 29m, 53s",884,3000,915,0,,,
"102h, 30m, 55s",882,3000,915,0,,,
"102h, 31m, 56s",882,3000,915,0,,,
"102h, 32m, 57s",882,3000,915,0,,,
"102h, 33m, 58s",880,3000,915,0,,,
"102h, 34m, 59s",882,3000,915,0,,,
"102h, 36m, 0s",882,3000,915,0,,,
"102h, 37m, 2s",882,3000,916,0,,,
"102h, 38m, 3s",884,3000,916,0,,,
"102h, 39m, 4s",884,3000,916,0,,,
"102h, 40m, 5s",886,3000,916,0,,,
"102h, 41m, 6s",884,3000,916,0,,,
"102h, 42m, 7s",884,3000,916,0,,,
"102h, 43m, 8s",882,3000,917,0,,,
"102h, 44m, 9s",884,3000,917,0,,,
"102h, 45m, 10s",884,3000,917,0,,,
"102h, 46m, 12s",886,3000,917,0,,,
"102h, 47m, 13s",886,3000,917,0,,,
"102h, 48m, 14s",884,3000,917,0,,,
"102h, 49m, 15s",888,3000,917,0,,,
"102h, 50m, 16s",888,3000,918,0,,,
"102h, 51m, 17s",884,3000,918,0,,,
"102h, 52m, 18s",886,3000,918,0,,,
"102h, 53m, 19s",888,3000,918,0,,,
"102h, 54m, 21s",888,3000,918,0,,,
"102h, 56m, 54s",884,3000,919,0,,,
"102h, 57m, 56s",886,3000,919,0,,,
"102h, 58m, 57s",886,3000,919,0,,,
"102h, 59m, 58s",888,3000,919,0,,,
"103h, 59s",888,3000,919,0,,,
"103h, 2m, 0s",886,3000,919,0,,,
